ExperimentId,Approach,TaskFinishTime,SkillName,SkillChanceToFail,SkillBatteryConsume, Location,SuccessResult,FailureReasonEnum,RobotName,BatteryCharge,BatteryDischargeRate,Skills,Color,Speed,EndBatteryCharge
0,Baseline,20.77,open-door,0.06,0.01,RoomA,true,None,Cleaner,1.00,0.05, clean-room*sanitize-robot*open-door*,,110.00,0.75
0,Baseline,20.77,clean-room,0.10,0.01,RoomA,false,Low Battery,Cleaner,0.75,0.05, clean-room*sanitize-robot*open-door*,,110.00,-0.00
1,Baseline,7.91,open-door,0.06,0.01,RoomA,true,None,Cleaner,1.00,0.05, clean-room*sanitize-robot*open-door*,,110.00,0.75
1,Baseline,7.91,clean-room,0.10,0.01,RoomA,false,Low Battery,Cleaner,0.75,0.05, clean-room*sanitize-robot*open-door*,,110.00,-0.00
1,Baseline,7.91,open-door,0.01,0.07,RoomA,true,None,Cleaner,1.00,0.04, clean-room*none*open-door*,,100.00,0.76
1,Baseline,7.91,clean-room,0.01,0.07,RoomA,true,None,Cleaner,0.76,0.04, clean-room*none*open-door*,,100.00,0.57
1,Baseline,7.91,sanitize-robot,1195203331650403189695186389172224.00,0.00,SanitizationRoom,false,Skill Not Found,Cleaner,0.57,0.04, clean-room*none*open-door*,,100.00,0.57
2,Baseline,2.11,open-door,0.06,0.01,RoomA,true,None,Cleaner,1.00,0.05, clean-room*sanitize-robot*open-door*,,110.00,0.75
2,Baseline,2.11,clean-room,0.10,0.01,RoomA,false,Low Battery,Cleaner,0.75,0.05, clean-room*sanitize-robot*open-door*,,110.00,-0.00
2,Baseline,2.11,open-door,0.01,0.07,RoomA,true,None,Cleaner,1.00,0.04, clean-room*none*open-door*,,100.00,0.76
2,Baseline,2.11,clean-room,0.01,0.07,RoomA,true,None,Cleaner,0.76,0.04, clean-room*none*open-door*,,100.00,0.57
2,Baseline,2.11,sanitize-robot,1195203331650403189695186389172224.00,0.00,SanitizationRoom,false,Skill Not Found,Cleaner,0.57,0.04, clean-room*none*open-door*,,100.00,0.57
2,Baseline,2.11,open-door,0.01,0.01,RoomA,true,None,Cleaner,1.00,0.05, clean-room*none*open-door*,,100.00,0.89
2,Baseline,2.11,clean-room,0.10,0.01,RoomA,false,Skill Failure,Cleaner,0.89,0.05, clean-room*none*open-door*,,100.00,0.89
3,Baseline,0.00,open-door,0.06,0.01,RoomA,true,None,Cleaner,1.00,0.05, clean-room*sanitize-robot*open-door*,,110.00,0.75
3,Baseline,0.00,clean-room,0.10,0.01,RoomA,false,Low Battery,Cleaner,0.75,0.05, clean-room*sanitize-robot*open-door*,,110.00,-0.00
3,Baseline,0.00,open-door,0.01,0.07,RoomA,true,None,Cleaner,1.00,0.04, clean-room*none*open-door*,,100.00,0.76
3,Baseline,0.00,clean-room,0.01,0.07,RoomA,true,None,Cleaner,0.76,0.04, clean-room*none*open-door*,,100.00,0.57
3,Baseline,0.00,sanitize-robot,1195203331650403189695186389172224.00,0.00,SanitizationRoom,false,Skill Not Found,Cleaner,0.57,0.04, clean-room*none*open-door*,,100.00,0.57
3,Baseline,0.00,open-door,0.01,0.01,RoomA,true,None,Cleaner,1.00,0.05, clean-room*none*open-door*,,100.00,0.89
3,Baseline,0.00,clean-room,0.10,0.01,RoomA,false,Skill Failure,Cleaner,0.89,0.05, clean-room*none*open-door*,,100.00,0.89
3,Baseline,0.00,open-door,1195203331650403189695186389172224.00,0.00,RoomA,false,Skill Not Found,Cleaner,1.00,0.03, none*none*none*,,80.00,1.00
4,Baseline,32.04,open-door,0.06,0.01,RoomA,true,None,Cleaner,1.00,0.05, clean-room*sanitize-robot*open-door*,,110.00,0.75
4,Baseline,32.04,clean-room,0.10,0.01,RoomA,false,Low Battery,Cleaner,0.75,0.05, clean-room*sanitize-robot*open-door*,,110.00,-0.00
4,Baseline,32.04,open-door,0.01,0.07,RoomA,true,None,Cleaner,1.00,0.04, clean-room*none*open-door*,,100.00,0.76
4,Baseline,32.04,clean-room,0.01,0.07,RoomA,true,None,Cleaner,0.76,0.04, clean-room*none*open-door*,,100.00,0.57
