ExperimentId,Approach,TaskFinishTime,SkillName,SkillChanceToFail,SkillBatteryConsume, Location,SuccessResult,FailureReasonEnum,RobotName,BatteryCharge,BatteryDischargeRate,Skills,Color,Speed,EndBatteryCharge
0,Baseline,0.00,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,0.70,0.01, clean-room*none*none*,,110.00,0.70
1,Baseline,0.00,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,0.70,0.01, clean-room*none*none*,,110.00,0.70
1,Baseline,0.00,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,0.70,0.01, clean-room*sanitize-robot*none*,,80.00,0.70
2,Baseline,42.54,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,0.70,0.01, clean-room*none*none*,,110.00,0.70
2,Baseline,42.54,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,0.70,0.01, clean-room*sanitize-robot*none*,,80.00,0.70
2,Baseline,42.54,open-door,0.02,0.01,RoomA,true,None,Cleaner,1.00,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.92
2,Baseline,42.54,clean-room,0.10,0.01,RoomA,true,None,Cleaner,0.92,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.58
2,Baseline,42.54,sanitize-robot,0.01,0.09,SanitizationRoom,true,None,Cleaner,0.58,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.08
2,Baseline,42.54,move-furniture,-0.00,0.00,RoomA,false,Skill Not Found,Robot,1.00,0.05, none*,,100.00,1.00
3,Baseline,0.00,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,0.70,0.01, clean-room*none*none*,,110.00,0.70
3,Baseline,0.00,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,0.70,0.01, clean-room*sanitize-robot*none*,,80.00,0.70
3,Baseline,0.00,open-door,0.02,0.01,RoomA,true,None,Cleaner,1.00,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.92
3,Baseline,0.00,clean-room,0.10,0.01,RoomA,true,None,Cleaner,0.92,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.58
3,Baseline,0.00,sanitize-robot,0.01,0.09,SanitizationRoom,true,None,Cleaner,0.58,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.08
3,Baseline,0.00,move-furniture,-0.00,0.00,RoomA,false,Skill Not Found,Robot,1.00,0.05, none*,,100.00,1.00
3,Baseline,0.00,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,1.00,0.05, clean-room*sanitize-robot*none*,,150.00,1.00
4,Baseline,142.54,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,0.70,0.01, clean-room*none*none*,,110.00,0.70
4,Baseline,142.54,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,0.70,0.01, clean-room*sanitize-robot*none*,,80.00,0.70
4,Baseline,142.54,open-door,0.02,0.01,RoomA,true,None,Cleaner,1.00,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.92
4,Baseline,142.54,clean-room,0.10,0.01,RoomA,true,None,Cleaner,0.92,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.58
4,Baseline,142.54,sanitize-robot,0.01,0.09,SanitizationRoom,true,None,Cleaner,0.58,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.08
4,Baseline,142.54,move-furniture,-0.00,0.00,RoomA,false,Skill Not Found,Robot,1.00,0.05, none*,,100.00,1.00
4,Baseline,142.54,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,1.00,0.05, clean-room*sanitize-robot*none*,,150.00,1.00
4,Baseline,142.54,open-door,0.01,0.01,RoomA,true,None,Cleaner,0.70,0.01, clean-room*sanitize-robot*open-door*,,120.00,0.65
4,Baseline,142.54,move-furniture,-0.00,0.00,RoomA,true,Skill Not Found,Robot,1.00,0.05, none*,,100.00,0.38
4,Baseline,142.54,sanitize-robot,0.01,0.01,SanitizationRoom,true,None,Cleaner,0.39,0.01, clean-room*sanitize-robot*open-door*,,120.00,0.38
4,Baseline,142.54,move-furniture,0.15,0.01,RoomA,true,None,Robot,1.00,0.05, move-furniture*,,150.00,0.32
4,Baseline,142.54,move-furniture,0.01,0.01,RoomA,true,None,Robot,0.38,0.01, move-furniture*,,150.00,0.23
4,Baseline,142.54,clean-room,0.02,0.01,RoomB,true,None,Cleaner,0.38,0.01, clean-room*sanitize-robot*open-door*,,120.00,0.17
4,Baseline,142.54,sanitize-robot,0.01,0.01,SanitizationRoom,false,Low Battery,Cleaner,0.17,0.01, clean-room*sanitize-robot*open-door*,,120.00,-0.04
5,Baseline,66.67,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,0.70,0.01, clean-room*none*none*,,110.00,0.70
5,Baseline,66.67,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,0.70,0.01, clean-room*sanitize-robot*none*,,80.00,0.70
5,Baseline,66.67,open-door,0.02,0.01,RoomA,true,None,Cleaner,1.00,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.92
5,Baseline,66.67,clean-room,0.10,0.01,RoomA,true,None,Cleaner,0.92,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.58
5,Baseline,66.67,sanitize-robot,0.01,0.09,SanitizationRoom,true,None,Cleaner,0.58,0.02, clean-room*sanitize-robot*open-door*,,120.00,0.08
5,Baseline,66.67,move-furniture,-0.00,0.00,RoomA,false,Skill Not Found,Robot,1.00,0.05, none*,,100.00,1.00
5,Baseline,66.67,open-door,-0.00,0.00,RoomA,false,Skill Not Found,Cleaner,1.00,0.05, clean-room*sanitize-robot*none*,,150.00,1.00
