ExperimentId,Approach,ExperimentTime,TaskName,Location,SuccessResult,FailureReasonEnum,InitialRobotName,InitialRobotSquad,InitialBatteryCharge,InitialSkills,InitialColor,InitialSpeed,InitialLocationX,InitialLocationY,InitialLocationZ,EndRobotName,EndRobotSquad,EndBatteryCharge,EndSkills,EndColor,EndSpeed,EndLocationX,EndLocationY,EndLocationZ
0,Baseline,61.55,,RoomA,true,EFailureReasonEnum::None,Cleaner,Squad,0.60,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00,Cleaner,Squad,0.55,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00
0,Baseline,61.55,,RoomA,true,EFailureReasonEnum::None,Cleaner,Squad,0.55,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00,Cleaner,Squad,0.36,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00
0,Baseline,61.55,,SanitizationRoom,true,EFailureReasonEnum::None,Cleaner,Squad,0.36,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00,Cleaner,Squad,0.09,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00
0,Baseline,61.55,,RoomA,true,EFailureReasonEnum::None,Robot,Squad,1.00,Low Battery;,Red,150.00,0.00,0.00,0.00,Robot,Squad,0.49,Low Battery;,Red,150.00,0.00,0.00,0.00
0,Baseline,61.55,,RoomA,false,EFailureReasonEnum::LowBattery,Robot,Squad,1.00,Low Battery;,Black,80.00,0.00,0.00,0.00,Robot,Squad,-0.00,Low Battery;,Black,80.00,0.00,0.00,0.00
1,Baseline,4.42,,RoomA,true,EFailureReasonEnum::None,Cleaner,Squad,0.60,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00,Cleaner,Squad,0.55,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00
1,Baseline,4.42,,RoomA,true,EFailureReasonEnum::None,Cleaner,Squad,0.55,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00,Cleaner,Squad,0.36,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00
1,Baseline,4.42,,SanitizationRoom,true,EFailureReasonEnum::None,Cleaner,Squad,0.36,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00,Cleaner,Squad,0.09,Skill Not Found;Skill Failure;Timeout;,Green,110.00,0.00,0.00,0.00
1,Baseline,4.42,,RoomA,true,EFailureReasonEnum::None,Robot,Squad,1.00,Low Battery;,Red,150.00,0.00,0.00,0.00,Robot,Squad,0.49,Low Battery;,Red,150.00,0.00,0.00,0.00
1,Baseline,4.42,,RoomA,false,EFailureReasonEnum::LowBattery,Robot,Squad,1.00,Low Battery;,Black,80.00,0.00,0.00,0.00,Robot,Squad,-0.00,Low Battery;,Black,80.00,0.00,0.00,0.00
